"Cranleigh juniors","Bruce Mckenzie Memorial Field",-0.492747,51.138393
"Cranleigh","Bruce McKenzie Memorial Field",-0.49151,51.13819
"Crathes Castle","Crathes Castle",-2.440954,57.061178
"Crewe","Queens Park",-2.470556,53.097388
"Crichton","The Crichton",-3.594589,55.050773
"Crosby","Crosby Leisure Centre",-3.046711,53.48269
"Cross Flatts juniors","Cross Flatts Park",-1.558242,53.776611
"Cross Flatts","Cross Flatts Park",-1.55757,53.775754
"Croxteth Hall","Croxteth Hall Country Park",-2.891774,53.44217
"Crystal Palace juniors","Crystal Palace Park",-0.06577,51.419792
"Crystal Palace","Crystal Palace Park",-0.065703,51.419846
"Cuerden Valley","Cuerden Valley Park",-2.659442,53.708614
"Cusworth Hall","Cusworth Hall Museum & Park",-1.177617,53.529479
"Cwmbran","Northfields Recreation Ground",-3.013498,51.656234
"Cyclopark","Cyclopark",0.352561,51.419922
"Dalby Forest","Dalby Forest Courtyard",-0.686599,54.273821
"Darlington South Park","South Park",-1.560531,54.51484
"Dartford Heath","Heath Lane",0.189929,51.435932
"Dartford juniors","Central Park",0.219065,51.44107
"Dartford","Central Park",0.220166,51.439141
"Daventry juniors","Daventry Sports Park",-1.188517,52.255003
"Daventry","Daventry Country Park",-1.15732,52.262374
"Dean Castle Country Park","Dean Castle Country Park",-4.482932,55.622901
"Delamere","Delamere Forest",-2.68796,53.239537
"Derry City juniors","Foyle Arena",-7.304701,55.000642
"Derry City","Derry City Centre",-7.318933,55.006966
"Desborough Green Space juniors","Desborough Leisure Centre",-0.819338,52.446059
"Devonport juniors","Devonport Park,",-4.172108,50.376471
"Dewsbury juniors","Crow Nest Park",-1.646944,53.688984
"Dewsbury","Crow Nest Park, Dewsbury",-1.646275,53.688218
"Didcot","Ladygrove Park",-1.239,51.612792
"Dinton Pastures","Dinton Pastures Country Park",-0.880056,51.440292
"Dishley, Loughborough","Loughborough Rugby Club",-1.234785,52.787485
"Dixton juniors","Monmouth Leisure Centre",-2.707755,51.815864
"Dolgellau","The Marian",-3.886527,52.744574
"Doncaster","Sandall Park",-1.089095,53.54532
"Dover juniors","Kearsney Abbey",1.269228,51.14766
"Drumchapel","Garscadden Woods East",-4.350674,55.91688
"Drumpellier Country","Drumpellier Country Park",-4.065615,55.871588
"Druridge Bay","Druridge Bay Country Park",-1.572348,55.292765
"Dudley","The Dell Stadium",-2.134568,52.490027
"Dukeries juniors","Dukeries Leisure Centre",-0.997203,53.207905
"Duloch juniors","Duloch Country Park",-3.401857,56.062493
"Dulwich","Dulwich Park, Dulwich",-0.079206,51.443869
"Dumfries juniors","Dock Park",-3.606924,55.062707
"Dunfermline","Pittencrieff Park",-3.470694,56.070684
"Dungannon Park","Dungannon Park",-6.755359,54.489432
"Dunstable Downs","Dunstable Downs",-0.537791,51.865432
"Durham City juniors","Durham Racecourse",-1.564287,54.775551
"Durham","Graham Sports Centre, Durham",-1.558852,54.767605
"Duthie juniors","Duthie Park",-2.105342,57.131553
"East Brighton","East Brighton Park",-0.099373,50.818691
"East Grinstead","East Court",0.001373,51.129008
"East Park","East Park",-2.101975,52.579042
"Eastbourne juniors","King Edwards Parade",0.286914,50.76191
"Eastbourne","Shinewater Park, Eastbourne",0.290451,50.806248
"Eastleigh","Fleming Park Old Golf Course, Eastleigh",-1.374032,50.971433
"Eastney juniors","Bransbury Park",-1.054334,50.789698
"Eastville juniors","Eastville Park",-2.554961,51.476132
"Eastville","Eastville Park",-2.554304,51.475453
"Eaton juniors","Eaton Park",1.25856,52.619606
"Ecos","Ecos Park, Ballymena",-6.259117,54.867371
"Eden Project","Eden Project",-4.74285,50.358315
